F1-known,F1-open,F1,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
72.1081,42.3134,71.3442,59.77,banking,MSP,0.5,0.4,1
71.9916,68.0739,70.6857,65.43,snips,ADB,0.25,0.4,0
72.5078,40.3226,71.6825,59.58,banking,MSP,0.5,0.6,1
72.8728,71.6113,72.4523,68.29,snips,ADB,0.25,0.6,0
72.7537,41.5,71.9523,60.32,banking,MSP,0.5,0.8,1
72.5171,68.6016,71.2119,66.0,snips,ADB,0.25,0.8,0
74.7867,49.7653,74.1451,63.8,banking,MSP,0.5,1.0,1
78.5998,49.8886,78.1132,72.14,banking,MSP,0.75,0.2,1
70.7822,65.7682,69.1109,63.71,snips,ADB,0.25,1.0,0
83.3238,62.423,79.1437,73.86,snips,ADB,0.5,0.2,0
83.0021,45.05,82.3588,75.39,banking,MSP,0.75,0.4,1
83.0784,60.6316,78.589,73.29,snips,ADB,0.5,0.4,0
84.0702,43.5993,83.3842,76.07,banking,MSP,0.75,0.6,1
83.6732,62.9167,79.5219,74.57,snips,ADB,0.5,0.6,0
84.5845,43.8746,83.8945,76.69,banking,MSP,0.75,0.8,1
83.0852,61.9835,78.8648,73.71,snips,ADB,0.5,0.8,0
83.4372,61.7954,79.1089,73.86,snips,ADB,0.5,1.0,0
84.9642,43.3109,84.2582,77.01,banking,MSP,0.75,1.0,1
54.2825,69.26899999999999,54.6667,61.58,oos,MSP,0.25,0.2,1
92.199,78.3784,89.8955,88.43,snips,ADB,0.75,0.2,0
53.74100000000001,66.4532,54.067,59.33,oos,MSP,0.25,0.4,1
53.7367,65.9164,54.049,58.84,oos,MSP,0.25,0.6,1
49.4259,58.1525,49.6497,52.32,oos,MSP,0.25,0.8,1
92.6611,77.1429,90.0748,88.57,snips,ADB,0.75,0.4,0
49.354,58.2353,49.5817,52.44,oos,MSP,0.25,1.0,1
72.9345,70.915,72.9079,70.51,oos,MSP,0.5,0.2,1
92.1106,76.7956,89.5581,88.0,snips,ADB,0.75,0.6,0
71.3873,63.6417,71.2854,66.04,oos,MSP,0.5,0.4,1
92.5808,74.7774,89.6135,87.86,snips,ADB,0.75,0.8,0
70.9556,60.2318,70.8145,64.33,oos,MSP,0.5,0.6,1
92.2048,76.7507,89.6291,88.0,snips,ADB,0.75,1.0,0
71.9083,63.4394,71.7969,66.33,oos,MSP,0.5,0.8,1
66.5864,82.40700000000002,67.3774,75.49,banking,ADB,0.25,0.2,1
72.1644,86.2459,72.8684,80.68,banking,ADB,0.25,0.4,1
71.8554,85.2906,72.5272,79.64,banking,ADB,0.25,0.6,1
69.6298,54.8521,69.4354,61.23,oos,MSP,0.5,1.0,1
73.4928,86.4467,74.1405,81.1,banking,ADB,0.25,0.8,1
74.52,86.6635,75.1271,81.49,banking,ADB,0.25,1.0,1
82.5118,71.0765,82.4106,77.77,oos,MSP,0.75,0.2,1
76.0019,76.8761,76.0244,75.91,banking,ADB,0.5,0.2,1
79.8933,77.5684,79.8337,77.86,banking,ADB,0.5,0.4,1
81.7375,61.9559,81.5625,74.39,oos,MSP,0.75,0.4,1
79.2857,73.6451,79.1411,75.49,banking,ADB,0.5,0.6,1
83.0402,64.1687,82.8732,75.93,oos,MSP,0.75,0.6,1
82.1858,78.8482,82.1003,79.64,banking,ADB,0.5,0.8,1
80.771,76.332,80.6571,77.63,banking,ADB,0.5,1.0,1
82.06299999999997,57.9274,81.8494,73.58,oos,MSP,0.75,0.8,1
