ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
62.95,48.92,74.49,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,0
62.05,49.14,75.17,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,1
60.81,47.33,74.09,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,2
62.82,49.6,75.31,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,3
60.32,47.03,73.85,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,4
62.37,49.58,75.17,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,5
61.88,48.43,74.74,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,6
60.91,46.55,74.01,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,7
61.27,47.8,74.22,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,8
62.63,49.46,75.32,banking,MCL_BERT,bert_MCL,0.75,0.1,1.0,9
70.44,62.41,87.94,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,0
70.49,63.35,88.67,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,1
70.18,61.33,87.45,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,2
71.24,62.42,87.72,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,3
71.02,62.72,88.28,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,4
69.24,58.5,85.72,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,5
70.49,61.54,87.36,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,6
70.62,62.26,87.42,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,7
69.69,60.92,87.03,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,8
70.27,59.76,86.15,clinc,MCL_BERT,bert_MCL,0.75,0.1,1.0,9
