ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
38.38,24.77,60.94,banking,SAE-KM,sae,0.75,0.1,1.0,0
41.01,27.64,62.36,banking,SAE-KM,sae,0.75,0.1,1.0,1
31.53,18.93,55.83,banking,SAE-KM,sae,0.75,0.1,1.0,2
36.92,22.42,59.33,banking,SAE-KM,sae,0.75,0.1,1.0,3
35.91,23.81,59.96,banking,SAE-KM,sae,0.75,0.1,1.0,4
36.92,23.13,59.5,banking,SAE-KM,sae,0.75,0.1,1.0,5
37.5,25.0,60.78,banking,SAE-KM,sae,0.75,0.1,1.0,6
38.31,25.16,60.94,banking,SAE-KM,sae,0.75,0.1,1.0,7
38.28,24.86,60.82,banking,SAE-KM,sae,0.75,0.1,1.0,8
37.14,23.42,59.58,banking,SAE-KM,sae,0.75,0.1,1.0,9
47.78,33.56,74.85,clinc,SAE-KM,sae,0.75,0.1,1.0,0
50.93,34.58,75.46,clinc,SAE-KM,sae,0.75,0.1,1.0,1
48.0,32.48,74.08,clinc,SAE-KM,sae,0.75,0.1,1.0,2
43.11,28.11,71.84,clinc,SAE-KM,sae,0.75,0.1,1.0,3
46.71,31.34,73.92,clinc,SAE-KM,sae,0.75,0.1,1.0,4
46.8,32.51,74.29,clinc,SAE-KM,sae,0.75,0.1,1.0,5
52.04,36.52,75.9,clinc,SAE-KM,sae,0.75,0.1,1.0,6
49.38,33.58,74.88,clinc,SAE-KM,sae,0.75,0.1,1.0,7
47.73,32.39,74.09,clinc,SAE-KM,sae,0.75,0.1,1.0,8
48.84,32.98,74.92,clinc,SAE-KM,sae,0.75,0.1,1.0,9
