ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
38.34,23.2,62.91,banking,DCN,sae,0.75,0.1,1.0,0
41.85,30.11,65.89,banking,DCN,sae,0.75,0.1,1.0,1
32.5,20.31,58.77,banking,DCN,sae,0.75,0.1,1.0,2
38.73,26.01,62.85,banking,DCN,sae,0.75,0.1,1.0,3
39.94,26.14,61.93,banking,DCN,sae,0.75,0.1,1.0,4
36.46,24.08,62.02,banking,DCN,sae,0.75,0.1,1.0,5
40.19,27.19,63.96,banking,DCN,sae,0.75,0.1,1.0,6
39.38,26.52,63.1,banking,DCN,sae,0.75,0.1,1.0,7
43.21,29.88,65.34,banking,DCN,sae,0.75,0.1,1.0,8
40.1,26.71,62.86,banking,DCN,sae,0.75,0.1,1.0,9
51.33,35.33,76.15,clinc,DCN,sae,0.75,0.1,1.0,0
49.29,30.89,75.12,clinc,DCN,sae,0.75,0.1,1.0,1
49.73,33.5,75.48,clinc,DCN,sae,0.75,0.1,1.0,2
46.27,30.69,74.1,clinc,DCN,sae,0.75,0.1,1.0,3
44.53,22.76,72.41,clinc,DCN,sae,0.75,0.1,1.0,4
49.07,33.34,75.43,clinc,DCN,sae,0.75,0.1,1.0,5
52.84,36.79,76.62,clinc,DCN,sae,0.75,0.1,1.0,6
49.29,33.12,75.92,clinc,DCN,sae,0.75,0.1,1.0,7
48.98,30.83,75.15,clinc,DCN,sae,0.75,0.1,1.0,8
49.38,33.7,75.65,clinc,DCN,sae,0.75,0.1,1.0,9
