ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
38.31,23.18,62.89,banking,DEC,sae,0.75,0.1,1.0,0
41.82,30.07,65.88,banking,DEC,sae,0.75,0.1,1.0,1
32.44,20.29,58.77,banking,DEC,sae,0.75,0.1,1.0,2
36.53,24.31,61.84,banking,DEC,sae,0.75,0.1,1.0,3
39.94,26.13,61.98,banking,DEC,sae,0.75,0.1,1.0,4
36.46,24.06,61.99,banking,DEC,sae,0.75,0.1,1.0,5
40.42,27.26,64.49,banking,DEC,sae,0.75,0.1,1.0,6
39.35,26.5,63.06,banking,DEC,sae,0.75,0.1,1.0,7
43.18,29.91,65.37,banking,DEC,sae,0.75,0.1,1.0,8
40.03,26.54,62.68,banking,DEC,sae,0.75,0.1,1.0,9
50.84,35.09,76.07,clinc,DEC,sae,0.75,0.1,1.0,0
49.24,30.85,75.1,clinc,DEC,sae,0.75,0.1,1.0,1
49.69,33.53,75.41,clinc,DEC,sae,0.75,0.1,1.0,2
46.27,30.64,74.04,clinc,DEC,sae,0.75,0.1,1.0,3
44.53,22.76,72.41,clinc,DEC,sae,0.75,0.1,1.0,4
49.07,33.34,75.43,clinc,DEC,sae,0.75,0.1,1.0,5
52.84,36.79,76.62,clinc,DEC,sae,0.75,0.1,1.0,6
49.33,33.15,75.94,clinc,DEC,sae,0.75,0.1,1.0,7
48.98,30.83,75.15,clinc,DEC,sae,0.75,0.1,1.0,8
49.29,33.65,75.56,clinc,DEC,sae,0.75,0.1,1.0,9
