ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
75.96,67.91,90.41,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,0
75.56,64.45,88.5,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,1
78.93,68.5,89.7,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,2
77.29,66.67,89.15,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,3
77.02,66.11,88.64,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,4
78.76,67.84,89.48,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,5
75.78,65.06,88.52,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,6
77.82,68.43,89.78,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,7
77.87,67.59,89.39,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,9
56.27,44.89,74.59,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,0
55.84,44.41,74.47,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,1
58.31,45.62,74.41,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,2
54.61,44.3,76.23,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,3
59.42,47.07,75.15,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,4
55.1,40.82,71.9,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,5
57.08,43.96,74.26,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,6
60.75,47.65,75.76,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,7
57.66,45.4,75.25,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,9
54.38,41.49,72.99,banking,DTC_BERT,bert_DTC,0.75,0.1,1.0,8
76.18,66.19,89.07,clinc,DTC_BERT,bert_DTC,0.75,0.1,1.0,8
