ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
28.05,13.11,49.05,banking,KM,glove,0.75,0.1,1.0,0
28.9,13.4,49.15,banking,KM,glove,0.75,0.1,1.0,1
27.95,12.89,48.49,banking,KM,glove,0.75,0.1,1.0,2
26.69,11.82,47.75,banking,KM,glove,0.75,0.1,1.0,3
27.99,12.49,49.31,banking,KM,glove,0.75,0.1,1.0,4
27.6,12.76,48.91,banking,KM,glove,0.75,0.1,1.0,5
28.47,13.33,49.67,banking,KM,glove,0.75,0.1,1.0,6
28.41,13.41,49.49,banking,KM,glove,0.75,0.1,1.0,7
29.68,13.22,49.21,banking,KM,glove,0.75,0.1,1.0,8
27.99,12.4,49.19,banking,KM,glove,0.75,0.1,1.0,9
46.93,28.27,71.18,clinc,KM,glove,0.75,0.1,1.0,0
45.56,28.05,71.36,clinc,KM,glove,0.75,0.1,1.0,1
45.47,26.94,70.56,clinc,KM,glove,0.75,0.1,1.0,2
45.73,28.79,71.49,clinc,KM,glove,0.75,0.1,1.0,3
44.89,26.48,70.21,clinc,KM,glove,0.75,0.1,1.0,4
44.09,27.11,70.6,clinc,KM,glove,0.75,0.1,1.0,5
44.76,26.78,70.9,clinc,KM,glove,0.75,0.1,1.0,6
47.11,28.1,71.2,clinc,KM,glove,0.75,0.1,1.0,7
45.2,28.37,71.14,clinc,KM,glove,0.75,0.1,1.0,8
47.02,27.62,71.26,clinc,KM,glove,0.75,0.1,1.0,9
