ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed
59.22,44.5,72.25,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,0
68.62,58.33,86.04,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,0
58.25,44.11,72.13,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,1
58.41,44.0,72.37,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,2
61.4,48.02,74.48,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,3
56.98,43.43,72.09,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,4
58.7,44.4,72.1,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,5
59.16,45.2,72.93,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,6
58.86,43.83,72.23,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,7
58.38,44.19,72.09,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,8
59.94,47.12,74.12,banking,KCL_BERT,bert_KCL,0.75,0.1,1.0,9
67.87,57.58,85.94,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,1
68.58,58.13,85.68,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,2
69.47,58.87,85.82,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,3
69.29,59.36,86.3,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,4
69.56,58.5,85.49,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,5
68.18,56.65,84.68,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,6
71.16,60.64,86.57,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,7
67.91,58.68,86.29,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,8
69.6,58.62,86.17,clinc,KCL_BERT,bert_KCL,0.75,0.1,1.0,9
